model,ann,t=2,t=4,t=8,t=16
vgg_cifar10_16,0.9404,0.1114,0.832,0.9135,0.9343
vgg_cifar10_8,0.923,0.3257,0.7643,0.8665,0.91
vgg_cifar10_4,0.1687,0.1021,0.0921,0.103,0.1185
vgg_cifar10_2,0.1,0.1,0.1,0.1,0.1
vgg_cifar100_16,0.728,0.1092,0.2224,0.3822,0.5703
vgg_cifar100_8,0.7073,0.0736,0.3365,0.5049,0.6283
vgg_cifar100_4,0.6828,0.2027,0.3507,0.4902,0.6002
vgg_cifar100_2,0.01,0.01,0.01,0.01,0.01
res_cifar10_16,0.9578,0.6598,0.8167,0.9099,0.9443
res_cifar10_8,0.9543,0.7211,0.8525,0.9221,0.9479
res_cifar10_4,0.9473,0.877,0.9185,0.938,0.9448
res_cifar10_2,0.9405,0.9068,0.9267,0.9367,0.9423
res_cifar100_16,0.7683,0.2345,0.397,0.6135,0.7354
res_cifar100_8,0.7714,0.3749,0.5494,0.6886,0.7497
res_cifar100_4,0.7614,0.5252,0.6508,0.7282,0.753
res_cifar100_2,0.756,0.6216,0.6944,0.7354,0.751
